Epoch,MAE,RMSE
334,tensor(15.9205),tensor(21.9222)
335,tensor(17.5895),tensor(29.2610)
336,tensor(10.0926),tensor(16.7915)
337,tensor(10.8246),tensor(18.9846)
338,tensor(12.4461),tensor(21.2983)
339,tensor(34.5474),tensor(40.3668)
340,tensor(9.6809),tensor(17.8729)
341,tensor(15.6301),tensor(27.2333)
342,tensor(14.0556),tensor(21.0907)
343,tensor(25.1435),tensor(34.4067)
344,tensor(19.8064),tensor(31.6404)
345,tensor(28.5603),tensor(36.0937)
346,tensor(13.8811),tensor(18.6842)
347,tensor(14.9305),tensor(26.6590)
348,tensor(21.9125),tensor(32.9253)
349,tensor(11.5110),tensor(19.4455)
350,tensor(19.9916),tensor(29.5253)
351,tensor(23.8183),tensor(28.9796)
352,tensor(9.8096),tensor(17.4394)
353,tensor(9.0332),tensor(17.2127)
354,tensor(20.6881),tensor(33.2149)
355,tensor(11.7216),tensor(24.3725)
356,tensor(16.3880),tensor(29.1423)
357,tensor(12.9754),tensor(20.7125)
358,tensor(10.7688),tensor(21.0796)
359,tensor(18.1172),tensor(23.3996)
360,tensor(23.1465),tensor(28.5137)
361,tensor(9.7639),tensor(16.6246)
362,tensor(13.3190),tensor(21.5225)
363,tensor(10.5848),tensor(16.9890)
364,tensor(21.1303),tensor(36.2610)
365,tensor(11.6902),tensor(23.4762)
366,tensor(20.0940),tensor(35.3900)
367,tensor(24.1241),tensor(38.2521)
368,tensor(19.1255),tensor(26.4475)
369,tensor(17.5415),tensor(32.4451)
370,tensor(24.6298),tensor(35.5291)
371,tensor(10.6125),tensor(21.1192)
372,tensor(11.8951),tensor(22.0711)
373,tensor(11.9199),tensor(18.8757)
374,tensor(10.1305),tensor(19.1106)
375,tensor(25.0450),tensor(39.4648)
376,tensor(11.6271),tensor(18.4763)
377,tensor(23.7136),tensor(32.4327)
378,tensor(12.3540),tensor(23.5245)
379,tensor(29.7166),tensor(33.6113)
380,tensor(20.4471),tensor(30.3352)
381,tensor(13.6157),tensor(24.8601)
382,tensor(11.6649),tensor(21.6986)
383,tensor(18.1659),tensor(30.4612)
384,tensor(19.8804),tensor(32.6637)
385,tensor(23.8331),tensor(40.1219)
386,tensor(11.9194),tensor(17.0061)
387,tensor(10.4730),tensor(17.2501)
388,tensor(28.5390),tensor(39.2843)
